Jahr;beitragsBemessungsGrenzeKV;GKVSatz;GKV;arbeitnehmerAnteilGKV;werbungskostenPauschale;rentenVersichergungsBeitrag;beitragsBemessungsGrenzeRenteWest;beitragsBemessungsGrenzeRenteOst;durchschnittsEntgeltWest;durchschnittsEntgeltOst;rentenWertWest;rentenWertOst;rentenFreibetrag;arbeitnehmerAnteilPV
2002;40500;0.14;0.14;0.07;1044;0.191;54000;45000;28626;23911;25.86;22.7;;
2003;41400;0.144;0.143;0.0715;1044;0.195;61200;51000;28938;24230;26.13;22.97;;
2004;41850;0.143;0.142;0.071;920;0.195;61800;52200;29060;24355;26.13;22.97;;
2005;42300;0.143;0.142;0.071;920;0.195;62400;52800;29202;24691;26.13;22.97;;
2006;42750;0.134;0.142;0.071;920;0.195;63000;52800;29494;24938;26.13;22.97;;
2007;42750;0.14;0.148;0.074;920;0.199;63000;54600;29951;25294;26.27;23.09;;
2008;43200;0.14;0.149;0.0745;920;0.199;63600;54000;30625;25829;26.56;23.34;;
2009;44100;0.155;0.155;0.0775;920;0.199;64800;54600;30506;26047;27.2;24.13;;
2010;45000;0.149;0.149;0.0745;920;0.199;66000;55800;31144;26560;27.2;24.13;;
2011;44550;0.155;0.155;0.0775;1000;0.199;66000;57600;32100;27342;27.47;24.37;;
2012;45900;0.155;0.155;0.0775;1000;0.196;67200;57600;33002;28004;28.07;24.92;;
2013;47250;0.155;0.155;0.0775;1000;0.189;69600;58800;33659;28617;28.14;25.74;;
2014;48600;0.155;0.155;0.0775;1000;0.189;71400;60000;34514;29588;28.61;26.39;;
2015;49500;0.146;0.155;0.0775;1000;0.187;72600;62400;35363;30744;29.21;27.05;;
2016;50850;0.146;0.157;0.0785;1000;0.187;74400;64800;36187;31700;30.45;28.66;;
2017;52200;0.146;0.157;0.0785;1000;0.187;76200;68400;37077;32598;31.03;29.69;;
2018;53100;0.146;0.156;0.078;1000;0.186;78000;69600;38212;33699;32.03;30.69;;
2019;54450;0.146;0.155;0.0775;1000;0.186;80400;73800;39301;36255;33.05;31.89;;
2020;56250;0.146;0.157;0.0785;1000;0.186;82800;77400;40551;37898;34.19;33.23;;
2021;58050;0.146;0.159;0.0795;1000;0.186;85200;80400;41541;39338;34.19;33.47;;
